1583615969.8007033
1583615969.823770814.75, -13.35, 108.58
1583615969.847690314.74, -13.33, 108.59
1583615969.87163914.75, -13.33, 108.58
1583615969.895593414.78, -13.31, 108.59
1583615969.919581214.81, -13.31, 108.59
1583615969.943565114.84, -13.23, 108.60
1583615969.967529314.87, -13.16, 108.61
1583615969.99125114.88, -13.17, 108.61
1583615970.015116514.89, -13.18, 108.60
1583615970.039089414.87, -13.15, 108.60
1583615970.063043614.86, -13.19, 108.59
1583615970.08699414.85, -13.27, 108.59
1583615970.11095714.82, -13.27, 108.60
1583615970.134931814.80, -12.93, 108.59
1583615970.158868614.82, -12.79, 108.60
1583615970.183097414.85, -12.95, 108.59
1583615970.207044114.85, -13.09, 108.59
1583615970.230970914.86, -12.93, 108.59
1583615970.254878514.86, -12.98, 108.60
1583615970.278676714.87, -13.11, 108.58
1583615970.302597514.88, -13.12, 108.55
1583615970.326567214.83, -13.15, 108.50
1583615970.350538514.81, -13.28, 108.45
1583615970.3744814.77, -13.30, 108.47
1583615970.398560514.76, -13.73, 108.48
1583615970.422402114.80, -13.59, 108.51
1583615970.446485514.83, -13.09, 108.56
1583615970.470480214.85, -12.60, 108.65
1583615970.494464414.83, -13.23, 108.66
1583615970.518499614.80, -12.91, 108.36
1583615970.54230214.95, -13.70, 108.32
1583615970.566266815.12, -14.95, 108.12
1583615970.590706815.15, -17.63, 107.51
1583615970.614644315.52, -16.97, 107.38
1583615970.638671215.57, -17.68, 107.29
1583615970.6627215.12, -15.65, 107.35
1583615970.686644615.30, -14.43, 107.24
1583615970.71057315.50, -14.00, 107.12
1583615970.734296615.62, -13.82, 107.06
1583615970.758138215.79, -13.67, 106.90
1583615970.782086615.77, -14.07, 106.59
1583615970.806292815.91, -13.85, 106.53
1583615970.83026716.02, -13.86, 106.51
1583615970.854198516.27, -14.43, 106.58
1583615970.87815216.33, -15.44, 106.62
1583615970.9021216.13, -15.77, 106.16
1583615970.925848515.49, -16.27, 105.41
1583615970.949923516.10, -15.37, 105.17
1583615970.973740317.28, -14.76, 105.09
1583615970.99800819.31, -14.28, 104.07
1583615971.022022723.52, -15.59, 102.17
1583615971.045936328.70, -21.08, 100.52
1583615971.068765236.13, -30.91, 97.18
1583615971.09168743.12, -44.96, 88.72
1583615971.114607347.90, -63.69, 76.35
1583615971.13750248.98, -86.63, 60.39
1583615971.16138346.03, -108.99, 44.86
1583615971.185200239.91, -128.22, 32.35
1583615971.20918631.95, -142.72, 24.22
1583615971.233373620.44, -154.04, 19.52
1583615971.25627339.56, -161.51, 18.75
1583615971.2800024-2.62, -166.89, 19.34
1583615971.305212-12.10, -170.48, 18.43
1583615971.3302436-23.79, -172.81, 16.73
1583615971.3552136-36.64, -175.73, 16.20
1583615971.3791819-47.93, 177.33, 19.78
1583615971.403149-55.54, 168.36, 26.96
