Epoch,Pitch,Roll,Yaw,Pulse1583631183.5954409,.27,167.74,181.85,505.00,28.25
1583631183.5961528,4.82,190.85,517.00,28.19
1583631183.5969784,80.40,172.75,188.25,493.00,28.25
1583631183.5978074,81.44,170.19,184.94,497.00,28.25
1583631183.598616,82.27,167.74,181.85,505.00,28.25
1583631185.584106,3.93,1.82,180.49,507.00,28.31
1583631185.8542078,8.75,2.09,180.75,485.00,28.25
1583631186.1205592,13.58,2.40,180.97,611.00,28.25
1583631186.3868644,18.40,2.71,181.13,519.00,28.25
1583631186.656997,23.15,3.15,181.20,483.00,28.31
1583631186.9233294,27.90,3.49,181.17,496.00,28.31
1583631187.1896873,32.67,3.83,180.99,509.00,28.31
1583631187.4598112,37.40,4.15,180.71,491.00,28.31
1583631187.7260787,42.10,4.85,180.47,482.00,28.38
1583631187.9924183,46.83,5.65,180.24,495.00,28.31
1583631188.2625833,51.41,6.41,179.82,498.00,28.38
1583631188.5288258,55.79,7.63,179.70,512.00,28.31
1583631188.7951212,60.19,9.04,179.80,536.00,28.38
1583631189.0653336,64.49,10.71,179.88,512.00,28.31
1583631189.3316996,68.62,13.11,180.68,519.00,28.31
1583631189.597947,72.63,16.39,182.29,505.00,28.31
1583631189.868115,76.32,20.92,185.08,504.00,28.31
1583631190.134411,79.97,28.36,190.75,496.00,28.38
1583631190.4007666,83.16,42.94,203.73,505.00,28.38
1583631190.6709,85.31,73.28,232.56,497.00,28.38
1583631190.9372792,85.21,117.12,274.71,363.00,28.38
1583631191.2035196,83.32,144.59,300.44,535.00,28.31
1583631191.4737883,80.85,157.47,311.41,482.00,28.38
1583631191.740049,78.32,164.68,316.93,480.00,28.38
1583631192.0063148,75.82,168.96,319.52,476.00,28.38
1583631192.2765145,73.41,171.90,320.68,496.00,28.38
1583631192.5428228,-12.33,57.41,202.94,488.00,28.38
1583631192.8090787,20.34,122.05,244.46,508.00,28.44
1583631193.0753126,47.22,80.95,196.98,504.00,28.44
1583631193.3415434,11.44,1.90,178.54,524.00,28.38
1583631193.6118252,-31.23,-5.23,157.70,484.00,28.38
1583631193.8780434,11.13,17.15,129.15,492.00,28.44
1583631194.1482444,23.01,38.89,143.85,508.00,28.44
1583631194.4145372,26.90,22.48,156.15,520.00,28.44
1583631194.6847885,-19.79,-82.16,215.86,540.00,28.44
1583631194.9517095,-14.24,-15.30,182.18,508.00,28.44
1583631195.2179356,-6.18,-12.66,180.78,510.00,28.44
1583631195.4842827,-4.47,-19.62,180.80,518.00,28.44
1583631195.7544389,-71.56,57.84,159.20,520.00,28.44
1583631196.020752,-63.01,107.67,124.94,501.00,28.38
1583631196.2869735,-41.21,-178.02,95.02,494.00,28.44
1583631196.557309,-17.65,157.95,114.80,499.00,28.44
1583631196.8236413,-32.99,-178.91,161.11,499.00,28.50
1583631197.0898874,-29.14,117.23,132.12,469.00,28.50
1583631197.3600936,-29.02,125.54,145.38,487.00,28.44
1583631197.626319,-45.60,29.34,123.64,487.00,28.44
1583631197.8926313,-41.58,-34.18,159.61,493.00,28.44
1583631198.1588273,27.70,49.25,121.18,505.00,28.50
1583631198.4250937,38.53,36.85,108.81,482.00,28.50
1583631198.6952956,33.75,51.43,167.81,499.00,28.50
1583631198.961614,70.59,140.15,228.14,494.00,28.44
1583631199.2277572,19.40,2.51,181.78,515.00,28.50
1583631199.4979742,34.22,-1.28,216.48,501.00,28.50
1583631199.7643485,78.02,79.57,187.92,516.00,28.50
1583631200.0305595,79.36,3.15,122.10,515.00,28.50
1583631200.2968297,65.55,2.41,102.87,387.00,28.50
1583631200.5670981,-5.48,18.02,124.12,539.00,28.50
1583631200.8334715,-48.27,-6.00,130.83,509.00,28.56
1583631201.1036024,-54.27,130.48,342.54,513.00,28.50
1583631201.369994,-45.83,128.11,327.67,494.00,28.50
1583631201.640193,-48.85,121.89,332.79,506.00,28.50
1583631201.90642,-57.96,123.48,338.99,491.00,28.50
1583631202.1727278,-67.34,105.76,356.28,493.00,28.50
1583631202.4389522,-65.40,112.16,84.68,487.00,28.50
1583631202.709124,-60.34,83.73,184.10,657.00,28.56
1583631202.9754124,-65.19,25.79,203.18,505.00,28.56
1583631203.2416806,-26.61,11.46,223.84,477.00,28.56
1583631203.5079033,54.60,24.30,265.48,486.00,28.50
1583631203.7781105,40.05,71.86,292.66,492.00,28.56
1583631204.0444856,21.99,104.40,294.31,499.00,28.56
1583631204.310693,46.26,93.41,301.83,494.00,28.56
1583631204.5809126,52.77,-143.10,17.75,509.00,28.56
1583631204.8472946,74.30,-163.06,352.44,499.00,28.56
1583631205.1135223,65.50,-35.78,150.17,524.00,28.56
1583631205.3797898,41.05,22.68,221.66,569.00,28.50
1583631205.6499617,26.97,33.12,210.49,491.00,28.56
1583631205.9162428,12.45,33.09,207.13,535.00,28.56
1583631206.1825387,70.65,77.24,277.28,496.00,28.56
1583631206.4527707,53.69,109.91,309.01,550.00,28.56
1583631206.7190697,49.03,132.25,334.58,524.00,28.56
1583631206.9852726,-0.16,51.62,292.80,504.00,28.63
1583631207.2554722,15.80,70.68,302.72,516.00,28.63
1583631207.521813,18.86,75.85,307.84,511.00,28.56
1583631207.7881165,20.94,79.13,311.69,485.00,28.56
1583631208.0543349,23.30,82.98,316.13,506.00,28.63
