Epoch,Pitch,Roll,Yaw,Pulse,Temp
1583692308.2933338,-2.22,2.63,180.48,520.00,26.81
1583692308.559275,-2.80,3.96,180.98,484.00,26.88
1583692308.8254385,-3.80,5.35,181.48,501.00,26.81
1583692309.0955684,-4.73,6.57,182.00,752.00,26.88
1583692309.3618255,-5.55,7.85,182.51,526.00,26.88
1583692309.6281362,-6.51,13.53,182.91,495.00,26.88
1583692309.8982527,-7.58,14.57,183.53,505.00,26.88
1583692310.1645792,-8.67,15.24,184.19,513.00,26.94
1583692310.4308777,-9.84,16.07,184.80,519.00,26.88
1583692310.7010312,-10.85,16.70,185.46,493.00,26.94
1583692310.9672797,-12.09,17.13,186.03,501.00,26.88
1583692311.2335567,-13.21,17.69,186.63,696.00,26.88
1583692311.5037248,-14.35,18.05,187.18,528.00,26.88
1583692311.7699842,-15.32,18.38,187.74,490.00,26.88
1583692312.0360909,-16.55,18.71,188.24,497.00,26.88
1583692312.3063912,-17.62,18.98,188.72,505.00,26.88
1583692312.572709,-18.78,19.27,189.15,521.00,26.88
1583692312.8390067,-19.77,19.46,189.63,493.00,26.88
1583692313.1091738,-20.64,19.82,189.94,502.00,26.88
1583692313.3753362,-21.72,19.66,190.11,502.00,26.88
1583692313.6416714,-22.57,19.80,190.47,500.00,26.88
1583692313.911828,-23.49,19.80,190.77,492.00,26.94
1583692314.178071,-24.52,19.60,191.00,506.00,26.88
1583692314.4443328,-25.31,19.64,191.28,506.00,26.88
1583692314.7145119,-25.88,19.56,191.33,481.00,26.88
1583692314.9807954,-24.78,18.78,191.48,491.00,26.94
1583692315.2470658,-24.20,17.78,191.86,503.00,26.88
1583692315.5133502,-23.95,17.31,191.98,521.00,26.88
1583692315.7835312,-22.36,16.17,192.68,499.00,26.88
1583692316.0498078,-22.39,16.22,193.16,504.00,26.88
1583692316.316093,-25.92,18.42,193.25,516.00,26.88
1583692316.586229,-27.42,18.51,193.90,497.00,26.88
1583692316.8524961,-27.35,17.49,194.29,500.00,26.88
1583692317.118867,-28.35,11.73,193.10,523.00,26.88
1583692317.385057,-29.27,4.60,191.39,486.00,26.94
1583692317.6553216,-37.78,-12.50,178.61,478.00,26.94
1583692317.9216008,-44.96,-25.63,170.34,506.00,26.88
1583692318.1918485,-56.33,-46.21,166.04,500.00,26.88
1583692318.458101,-62.34,-62.16,169.74,508.00,26.88
1583692318.724381,-57.52,-45.83,162.84,504.00,26.88
1583692318.990608,-42.10,-9.39,155.05,543.00,26.88
1583692319.2608182,-14.98,21.33,163.16,492.00,26.94
1583692319.526971,1.37,34.89,173.88,504.00,26.88
1583692319.7932632,2.99,31.60,177.28,483.00,26.88
1583692320.0596244,3.27,29.69,180.41,468.00,26.94
1583692320.3258147,2.46,30.01,180.17,497.00,26.94
1583692320.5959568,0.56,30.45,180.23,511.00,26.94
1583692320.8623035,-0.79,30.87,181.79,495.00,26.94
1583692321.1325233,-2.06,31.66,182.96,508.00,26.94
1583692321.3988273,-4.19,31.31,184.57,498.00,26.94
1583692321.6650531,-5.90,32.38,185.27,488.00,26.88
1583692321.9313824,-7.16,33.29,186.14,494.00,26.88
1583692322.2015073,-8.81,33.71,186.77,496.00,26.88
1583692322.467857,-10.08,34.40,187.82,495.00,26.88
1583692322.7380166,-11.58,35.20,188.64,501.00,26.94
1583692323.00428,-13.23,36.24,189.29,500.00,26.94
1583692323.2705922,-14.62,36.85,190.05,506.00,26.94
1583692323.5368407,-15.74,37.17,190.52,499.00,26.94
1583692323.8070486,-17.47,37.75,191.06,517.00,26.94
1583692324.0733576,-19.14,39.06,191.23,509.00,26.88
1583692324.3396316,-21.54,41.06,191.05,496.00,26.88
1583692324.6097133,-24.49,43.00,190.26,505.00,26.88
1583692324.8760097,-29.81,47.69,186.18,501.00,26.88
1583692325.1423283,-34.52,52.08,181.99,499.00,26.94
1583692325.412468,-38.08,56.13,178.41,501.00,26.94
1583692325.6788044,-39.58,57.61,175.19,504.00,26.94
1583692325.9450285,-39.29,53.86,177.13,520.00,26.88
1583692326.2152262,-40.33,52.41,178.76,489.00,26.94
1583692326.4815066,-41.05,50.08,180.64,500.00,26.94
1583692326.747778,-41.87,48.48,181.16,500.00,26.88
1583692327.0140586,-40.88,45.84,182.72,484.00,26.88
1583692327.2842758,-40.93,43.51,181.16,496.00,26.88
1583692327.5505815,-37.66,38.62,186.37,492.00,26.88
1583692327.8168159,-35.28,36.91,189.97,508.00,26.88
1583692328.086976,-36.22,35.34,190.62,494.00,26.94
1583692328.3532326,-37.44,35.67,190.95,483.00,26.88
1583692328.6196108,-38.70,35.74,190.80,508.00,26.88
1583692328.8897223,-39.24,35.97,190.46,501.00,26.88
1583692329.1559565,-40.31,36.06,190.32,496.00,26.88
1583692329.4222426,-41.25,35.89,190.29,509.00,26.94
1583692329.6924372,-42.10,36.32,190.25,498.00,26.94
1583692329.9587817,-43.06,36.53,190.11,537.00,26.88
1583692330.2249796,-43.73,36.83,189.81,509.00,26.88
1583692330.4912572,-44.33,36.66,189.68,500.00,26.88
1583692330.7613893,-45.10,37.15,189.02,504.00,26.94
1583692331.0277443,-46.42,38.70,187.92,507.00,26.94
1583692331.2940068,-47.66,39.96,187.17,497.00,26.88
1583692331.5641308,-48.61,39.82,187.46,505.00,26.88
1583692331.8304088,-49.10,39.70,187.08,502.00,26.94
